,Rainfall (mm),Date,Year,Month,Day
340,0.0,1972-12-06,1972,12,6
341,0.0,1972-12-07,1972,12,7
342,0.0,1972-12-08,1972,12,8
343,0.0,1972-12-09,1972,12,9
344,0.0,1972-12-10,1972,12,10
345,0.0,1972-12-11,1972,12,11
346,0.0,1972-12-12,1972,12,12
347,0.0,1972-12-13,1972,12,13
348,0.0,1972-12-14,1972,12,14
349,0.0,1972-12-15,1972,12,15
350,0.0,1972-12-16,1972,12,16
351,0.0,1972-12-17,1972,12,17
352,0.0,1972-12-18,1972,12,18
353,0.0,1972-12-19,1972,12,19
354,0.0,1972-12-20,1972,12,20
355,0.0,1972-12-21,1972,12,21
356,0.0,1972-12-22,1972,12,22
357,0.0,1972-12-23,1972,12,23
358,0.0,1972-12-24,1972,12,24
359,0.0,1972-12-25,1972,12,25
360,0.0,1972-12-26,1972,12,26
361,0.0,1972-12-27,1972,12,27
362,0.0,1972-12-28,1972,12,28
363,0.0,1972-12-29,1972,12,29
364,0.0,1972-12-30,1972,12,30
365,0.0,1972-12-31,1972,12,31
366,,1973-01-01,1973,1,1
367,,1973-01-02,1973,1,2
368,,1973-01-03,1973,1,3
369,,1973-01-04,1973,1,4
370,,1973-01-05,1973,1,5
371,,1973-01-06,1973,1,6
372,,1973-01-07,1973,1,7
373,,1973-01-08,1973,1,8
374,,1973-01-09,1973,1,9
375,,1973-01-10,1973,1,10
376,,1973-01-11,1973,1,11
377,,1973-01-12,1973,1,12
378,,1973-01-13,1973,1,13
379,,1973-01-14,1973,1,14
380,,1973-01-15,1973,1,15
381,,1973-01-16,1973,1,16
382,,1973-01-17,1973,1,17
383,,1973-01-18,1973,1,18
384,,1973-01-19,1973,1,19
385,,1973-01-20,1973,1,20
386,,1973-01-21,1973,1,21
387,,1973-01-22,1973,1,22
388,,1973-01-23,1973,1,23
389,,1973-01-24,1973,1,24
390,,1973-01-25,1973,1,25
391,,1973-01-26,1973,1,26
392,,1973-01-27,1973,1,27
393,,1973-01-28,1973,1,28
394,,1973-01-29,1973,1,29
395,,1973-01-30,1973,1,30
396,,1973-01-31,1973,1,31
397,,1973-02-01,1973,2,1
398,,1973-02-02,1973,2,2
399,,1973-02-03,1973,2,3
400,,1973-02-04,1973,2,4
401,,1973-02-05,1973,2,5
402,,1973-02-06,1973,2,6
403,,1973-02-07,1973,2,7
404,,1973-02-08,1973,2,8
405,,1973-02-09,1973,2,9
406,,1973-02-10,1973,2,10
407,,1973-02-11,1973,2,11
408,,1973-02-12,1973,2,12
409,,1973-02-13,1973,2,13
410,,1973-02-14,1973,2,14
411,,1973-02-15,1973,2,15
412,,1973-02-16,1973,2,16
413,,1973-02-17,1973,2,17
414,,1973-02-18,1973,2,18
415,,1973-02-19,1973,2,19
416,,1973-02-20,1973,2,20
417,,1973-02-21,1973,2,21
418,,1973-02-22,1973,2,22
419,,1973-02-23,1973,2,23
420,,1973-02-24,1973,2,24
421,,1973-02-25,1973,2,25
422,,1973-02-26,1973,2,26
423,,1973-02-27,1973,2,27
424,,1973-02-28,1973,2,28
425,,1973-03-01,1973,3,1
426,,1973-03-02,1973,3,2
427,,1973-03-03,1973,3,3
428,,1973-03-04,1973,3,4
429,,1973-03-05,1973,3,5
430,,1973-03-06,1973,3,6
431,,1973-03-07,1973,3,7
432,,1973-03-08,1973,3,8
433,,1973-03-09,1973,3,9
434,,1973-03-10,1973,3,10
435,,1973-03-11,1973,3,11
436,,1973-03-12,1973,3,12
437,,1973-03-13,1973,3,13
438,,1973-03-14,1973,3,14
439,,1973-03-15,1973,3,15
440,,1973-03-16,1973,3,16
441,,1973-03-17,1973,3,17
442,,1973-03-18,1973,3,18
443,,1973-03-19,1973,3,19
444,,1973-03-20,1973,3,20
445,,1973-03-21,1973,3,21
446,,1973-03-22,1973,3,22
447,,1973-03-23,1973,3,23
448,,1973-03-24,1973,3,24
449,,1973-03-25,1973,3,25
450,,1973-03-26,1973,3,26
451,,1973-03-27,1973,3,27
452,,1973-03-28,1973,3,28
453,,1973-03-29,1973,3,29
454,,1973-03-30,1973,3,30
455,,1973-03-31,1973,3,31
456,,1973-04-01,1973,4,1
457,,1973-04-02,1973,4,2
458,,1973-04-03,1973,4,3
459,,1973-04-04,1973,4,4
460,,1973-04-05,1973,4,5
461,,1973-04-06,1973,4,6
462,,1973-04-07,1973,4,7
463,,1973-04-08,1973,4,8
464,,1973-04-09,1973,4,9
465,,1973-04-10,1973,4,10
466,,1973-04-11,1973,4,11
467,,1973-04-12,1973,4,12
468,,1973-04-13,1973,4,13
469,,1973-04-14,1973,4,14
470,,1973-04-15,1973,4,15
471,,1973-04-16,1973,4,16
472,,1973-04-17,1973,4,17
473,,1973-04-18,1973,4,18
474,,1973-04-19,1973,4,19
475,,1973-04-20,1973,4,20
476,,1973-04-21,1973,4,21
477,,1973-04-22,1973,4,22
478,,1973-04-23,1973,4,23
479,,1973-04-24,1973,4,24
480,,1973-04-25,1973,4,25
481,,1973-04-26,1973,4,26
482,,1973-04-27,1973,4,27
483,,1973-04-28,1973,4,28
484,,1973-04-29,1973,4,29
485,,1973-04-30,1973,4,30
486,,1973-05-01,1973,5,1
487,,1973-05-02,1973,5,2
488,,1973-05-03,1973,5,3
489,,1973-05-04,1973,5,4
